Identifier,Lung tissue
GSM494556.CEL.gz,lung cancer
GSM494557.CEL.gz,lung cancer
GSM494558.CEL.gz,lung cancer
GSM494559.CEL.gz,lung cancer
GSM494560.CEL.gz,lung cancer
GSM494561.CEL.gz,lung cancer
GSM494562.CEL.gz,lung cancer
GSM494563.CEL.gz,lung cancer
GSM494564.CEL.gz,lung cancer
GSM494565.CEL.gz,lung cancer
GSM494566.CEL.gz,lung cancer
GSM494567.CEL.gz,lung cancer
GSM494568.CEL.gz,lung cancer
GSM494569.CEL.gz,lung cancer
GSM494570.CEL.gz,lung cancer
GSM494571.CEL.gz,lung cancer
GSM494572.CEL.gz,lung cancer
GSM494573.CEL.gz,lung cancer
GSM494574.CEL.gz,lung cancer
GSM494575.CEL.gz,lung cancer
GSM494576.CEL.gz,lung cancer
GSM494577.CEL.gz,lung cancer
GSM494578.CEL.gz,lung cancer
GSM494579.CEL.gz,lung cancer
GSM494580.CEL.gz,lung cancer
GSM494581.CEL.gz,lung cancer
GSM494582.CEL.gz,lung cancer
GSM494583.CEL.gz,lung cancer
GSM494584.CEL.gz,lung cancer
GSM494585.CEL.gz,lung cancer
GSM494586.CEL.gz,lung cancer
GSM494587.CEL.gz,lung cancer
GSM494588.CEL.gz,lung cancer
GSM494589.CEL.gz,lung cancer
GSM494590.CEL.gz,lung cancer
GSM494591.CEL.gz,lung cancer
GSM494592.CEL.gz,lung cancer
GSM494593.CEL.gz,lung cancer
GSM494594.CEL.gz,lung cancer
GSM494595.CEL.gz,lung cancer
GSM494596.CEL.gz,lung cancer
GSM494597.CEL.gz,lung cancer
GSM494598.CEL.gz,lung cancer
GSM494599.CEL.gz,lung cancer
GSM494600.CEL.gz,lung cancer
GSM494601.CEL.gz,lung cancer
GSM494602.CEL.gz,lung cancer
GSM494603.CEL.gz,lung cancer
GSM494604.CEL.gz,lung cancer
GSM494605.CEL.gz,lung cancer
GSM494606.CEL.gz,lung cancer
GSM494607.CEL.gz,lung cancer
GSM494608.CEL.gz,lung cancer
GSM494609.CEL.gz,lung cancer
GSM494610.CEL.gz,lung cancer
GSM494611.CEL.gz,lung cancer
GSM494612.CEL.gz,lung cancer
GSM494613.CEL.gz,lung cancer
GSM494614.CEL.gz,lung cancer
GSM494615.CEL.gz,lung cancer
GSM494616.CEL.gz,paired normal adjacent
GSM494617.CEL.gz,paired normal adjacent
GSM494618.CEL.gz,paired normal adjacent
GSM494619.CEL.gz,paired normal adjacent
GSM494620.CEL.gz,paired normal adjacent
GSM494621.CEL.gz,paired normal adjacent
GSM494622.CEL.gz,paired normal adjacent
GSM494623.CEL.gz,paired normal adjacent
GSM494624.CEL.gz,paired normal adjacent
GSM494625.CEL.gz,paired normal adjacent
GSM494626.CEL.gz,paired normal adjacent
GSM494627.CEL.gz,paired normal adjacent
GSM494628.CEL.gz,paired normal adjacent
GSM494629.CEL.gz,paired normal adjacent
GSM494630.CEL.gz,paired normal adjacent
GSM494631.CEL.gz,paired normal adjacent
GSM494632.CEL.gz,paired normal adjacent
GSM494633.CEL.gz,paired normal adjacent
GSM494634.CEL.gz,paired normal adjacent
GSM494635.CEL.gz,paired normal adjacent
GSM494636.CEL.gz,paired normal adjacent
GSM494637.CEL.gz,paired normal adjacent
GSM494638.CEL.gz,paired normal adjacent
GSM494639.CEL.gz,paired normal adjacent
GSM494640.CEL.gz,paired normal adjacent
GSM494641.CEL.gz,paired normal adjacent
GSM494642.CEL.gz,paired normal adjacent
GSM494643.CEL.gz,paired normal adjacent
GSM494644.CEL.gz,paired normal adjacent
GSM494645.CEL.gz,paired normal adjacent
GSM494646.CEL.gz,paired normal adjacent
GSM494647.CEL.gz,paired normal adjacent
GSM494648.CEL.gz,paired normal adjacent
GSM494649.CEL.gz,paired normal adjacent
GSM494650.CEL.gz,paired normal adjacent
GSM494651.CEL.gz,paired normal adjacent
GSM494652.CEL.gz,paired normal adjacent
GSM494653.CEL.gz,paired normal adjacent
GSM494654.CEL.gz,paired normal adjacent
GSM494655.CEL.gz,paired normal adjacent
GSM494656.CEL.gz,paired normal adjacent
GSM494657.CEL.gz,paired normal adjacent
GSM494658.CEL.gz,paired normal adjacent
GSM494659.CEL.gz,paired normal adjacent
GSM494660.CEL.gz,paired normal adjacent
GSM494661.CEL.gz,paired normal adjacent
GSM494662.CEL.gz,paired normal adjacent
GSM494663.CEL.gz,paired normal adjacent
GSM494664.CEL.gz,paired normal adjacent
GSM494665.CEL.gz,paired normal adjacent
GSM494666.CEL.gz,paired normal adjacent
GSM494667.CEL.gz,paired normal adjacent
GSM494668.CEL.gz,paired normal adjacent
GSM494669.CEL.gz,paired normal adjacent
GSM494670.CEL.gz,paired normal adjacent
GSM494671.CEL.gz,paired normal adjacent
GSM494672.CEL.gz,paired normal adjacent
GSM494673.CEL.gz,paired normal adjacent
GSM494674.CEL.gz,paired normal adjacent
GSM494675.CEL.gz,paired normal adjacent
